,Participant Birthdate,Mother Birthdate,Father Birthdate
count,23.0,23.0,23.0
mean,1995.3478260869565,1962.2173913043478,1962.3478260869565
std,2.1869176243407464,5.32538109382478,4.820493143880365
min,1990.0,1949.0,1951.0
25%,1994.0,1960.0,1958.5
50%,1996.0,1964.0,1963.0
75%,1997.0,1966.0,1966.0
max,1999.0,1969.0,1970.0
