,1970,1975,1980,1985,1990,1995,2000,2005
conozco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
través,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Así,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KissFM,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"canciones,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ponían,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rato.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
terraza,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"""Lobo",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"hombre""",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unión,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ido,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tocar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fiestas.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
murió,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Michael,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jackson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"hermano,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"fan,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
salón.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
momentos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
puesto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
garito.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
trabajando,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
monitora,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
niñxs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pedían,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
thriller,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"patio,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
puse.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
coreo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
caóticamente,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parecia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pasarselo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nos,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0
tenía,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0
voyage,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
puerta,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
En,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0
siempre,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
mí,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
clase,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0
amigas,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
padre,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
cinta,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bailando,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ellos,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Alcalá,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
especie,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
(,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
época,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
fiesta,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
No,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
años.,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
recordado,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
(en,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
mayoría,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Como,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Una,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
creo,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
tiempo,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
persona,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
bailado,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
The,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
juntos,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Ahora,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
cantaba,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
alguna,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CD,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
después,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
particular,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
"años,",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
sonaba,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
sentía,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
final,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
manos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
favorita,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
precisión.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
película,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
anuncio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"oído,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pre-adolescencia.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
countdown,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
últimos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"años),",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tocada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
orquesta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cantada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
grito,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pelado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
y/o,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"bailando,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sobretodo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alrededor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2005-2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Final,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Countdown,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Navidad,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
unas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
éramos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pequeñas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
grandes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
clásicos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
metal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
íbamos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cinco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
puso,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
volvíamos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pasar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parque,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
atracciones.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nuestro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vecino,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
llevaba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kiss,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fm.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cancion,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cantandola,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(de,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"pequeña,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
conducían),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(ahora,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
conduzco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
yo).,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Creo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sonado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
constituyen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ochenta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ciento,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
suenan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"hace,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"menos,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
quince,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hemos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
asocio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
él.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
doy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vida,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pasado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
compañeros,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
preescolar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
profesora.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hacíamos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
escenificación/juego,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
turnábamos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hacer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alzando,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
brazos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
diagonal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
unir,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
crear,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
humana.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mientras,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"tanto,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
debajo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
puerta.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
diferentes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
épocas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vida.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pelo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
largo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"euroep,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
puse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
estudiar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
frances,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aprendí,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
voyage.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hubo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
life,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
is,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
life),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sitios,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"local,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tienda),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
auriculares,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
canción.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Recuerdos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"conciertos,",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
celebrar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
goles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
estadio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fútbol,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(algunas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sonaban).,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
esos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
alegre.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Saturday,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Night,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
es,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0
evocan,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
"colegio,",0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0
casi,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
night,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
fui,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
poniendo,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
durante,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
tengo,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
su,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
parte,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
muchísimo,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
recientemente,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Fiestas,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
compañero,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
niña,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"baile,",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Por,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Madonna,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
concreto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
video,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
misma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
siendo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ski,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
instituto.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
paso,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gracioso.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
graduación,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bachillerato,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
huerta,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
colegas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bailo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
finales,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
febrero,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Instituto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
esquiar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"pirineos,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"catalana,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
autobús,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
senté,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
obsesionado,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tema,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"infinity,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
siempre.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"padres,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fiestecilla,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
muchos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"niños,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
saturday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fila.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aprendi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
luego,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
claro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"mas,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bodas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
asi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Desfile,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
carnaval,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vogue,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"novio,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Youtube,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
grababamos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
perrita,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
camiseta.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
aproximadamente,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
campamentos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
típico,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
estábamos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ahi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(la,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"sí,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contestado,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pregunta,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
anterior.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
no).,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sirve,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"algo,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
respectivos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"videoclips,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
caso,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Grease,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pues,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
película).,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vívido,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
personal.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
puedo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
imaginar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
escuchándolas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
estado,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
retrotraen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
determinada,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"vida,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lleva,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mismas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"siglos,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oído,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
indistintamente,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"niñez,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"preadolescencia,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adolescencia...,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pasandomela,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bluetooth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
recreooo.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Otra,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bailé,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nada,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clásico,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
noches,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
borrachera,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hahah,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
seguirá,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eso,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bebiendo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ex,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gente,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bailando,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"cantando,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Unas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
veranos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
varios,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
meses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
delante,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
disfrutar.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tomando,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cerveza,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tranquilamente,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"preocupaciones,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
empresa.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pusimos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
quando,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eramos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adolescentes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
institute,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"carnaval,",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ibamos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
todxs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
disfrazadxs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""discoteca"".",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Muy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
divertido.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
solo,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
escuchaba,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0
gustaba,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
primeras,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Zombie,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Scatman,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
poco,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
hecho,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
sé,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
escucho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
ella.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Pero,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hermano,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Celebrar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
dos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bucle,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alrededor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
daban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
happy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
meal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
reproductores,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
toco,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"mismo,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
usábamos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
banda,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sonora,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bratz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
recientemente...,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Solía,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
interpretar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Grupo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
descargarme,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zombie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"ipod,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"cascos,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
igual,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
adolescencia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pueblo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mambo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
number,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sonó,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
inventé,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
in,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bottle,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"mayor,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
