,2000
de,28.0
en,22.0
y,18.0
la,12.0
que,12.0
me,11.0
el,11.0
a,11.0
con,11.0
un,10.0
mi,10.0
cuando,5.0
canciones,5.0
del,5.0
torero,4.0
recuerdo,4.0
mis,4.0
pueblo,4.0
los,3.0
era,3.0
fin,3.0
A,3.0
recuerdan,3.0
,3.0
las,3.0
De,3.0
Estopa,3.0
La,3.0
"colegio,",3.0
verano,2.0
ese,2.0
ser,2.0
es,2.0
esas,2.0
mucho,2.0
pero,2.0
Fiestas,2.0
hermana,2.0
pequeña,2.0
son,2.0
le,2.0
muy,2.0
hecho,2.0
cómo,2.0
encantaba,2.0
2000,2.0
patio,2.0
escuchaba,2.0
después,2.0
bailar,2.0
CD,2.0
nos,2.0
poco,2.0
tenía,2.0
mí,2.0
No,2.0
ahora,2.0
Hay,2.0
al,2.0
canción,2.0
Recuerdo,2.0
han,2.0
o,2.0
madre,2.0
esa,2.0
ir,2.0
oía,1.0
"vívidos,",1.0
:_,1.0
ansiedad,1.0
sentir,1.0
dado,1.0
época.,1.0
agradable,1.0
"fiestas),",1.0
piscina,1.0
(principalmente,1.0
mismo.,1.0
Me,1.0
televisión),1.0
"bien),",1.0
Dance,1.0
(recuerdos,1.0
sola),1.0
tambien,1.0
representando,1.0
"letra,",1.0
inflamados,1.0
Escuchando,1.0
algunos,1.0
8-10,1.0
regalaron,1.0
inventamos,1.0
escucharlas,1.0
momento,1.0
(imagino,1.0
sí,1.0
"salón,",1.0
videoclip,1.0
incluido.,1.0
sonar,1.0
general.,1.0
da,1.0
curso.,1.0
ensayaba,1.0
Chayanne,1.0
Martin,1.0
Ricky,1.0
"amigos,",1.0
"primaria,",1.0
6to,1.0
5to,1.0
supuesto,1.0
comercialísimo,1.0
hitazo,1.0
Bomba,1.0
Mix,1.0
Caribe,1.0
pirata,1.0
comprara,1.0
Kazaa.,1.0
rellano,1.0
descargado,1.0
primaria,1.0
sexto,1.0
playa,1.0
Veranito,1.0
imposible,1.0
"reconstrucción,",1.0
Upa,1.0
bailes,1.0
Chayanne.,1.0
día,1.0
jugar,1.0
primer,1.0
solo,1.0
casa,1.0
gustaba,1.0
niño,1.0
Cantar,1.0
adolescente,1.0
Con,1.0
reconocido,1.0
sentía,1.0
sonaba,1.0
"años,",1.0
particular,1.0
familia,1.0
años,1.0
cantar,1.0
fiestas,1.0
sé,1.0
Como,1.0
mayoría,1.0
(en,1.0
recordado,1.0
años.,1.0
fiesta,1.0
padre,1.0
clase,1.0
viaje,1.0
para,1.0
porque,1.0
fue,1.0
Dantés,1.0
amigos,1.0
Leonardo,1.0
playa.,1.0
infancia,1.0
early,1.0
misa,1.0
domingo,1.0
bares,1.0
Bisbal,1.0
David,1.0
ir.,1.0
solíamos,1.0
pub,1.0
También,1.0
"viaje,",1.0
Sonó,1.0
amigas.,1.0
populares,1.0
padres,1.0
"curso,",1.0
9-11,1.0
escuchando,1.0
compañeras.,1.0
baile,1.0
estaba,1.0
momento.,1.0
DiscMan,1.0
MTV,1.0
disco,1.0
ha,1.0
veraneando,1.0
acuerde.,1.0
otras,1.0
su,1.0
durante,1.0
he,1.0
hermanas,1.0
estar,1.0
se,1.0
eran,1.0
curso,1.0
"mucho,",1.0
otros,1.0
coche,1.0
no,1.0
algunas,1.0
ellas,1.0
coche.,1.0
recuerda,1.0
una,1.0
pequeño,1.0
tengo,1.0
"verano,",1.0
canciones.,1.0
parte,1.0
compañero,1.0
niña,1.0
"baile,",1.0
niños,1.0
hasta,1.0
mayor,1.0
cole,1.0
colegio,1.0
pequeña.,1.0
Muchas,1.0
Por,1.0
recuerdos,1.0
radio,1.0
