,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness
count,23.0,23.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,2.347826086956522,0.7391304347826086,1.7647058823529411,1.0,1.1764705882352942,2.0,1.1764705882352942,0.7647058823529411
std,0.9346217344793907,0.44897775854487953,0.970142500145332,0.8660254037844386,0.8828430011649196,1.0,1.0145993123917847,0.4372373160976031
min,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25%,2.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
50%,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
75%,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
max,4.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0
