,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness
count,23.0,23.0,17.0,17.0,17.0,17.0,17.0,23.0
mean,2.4782608695652173,0.7391304347826086,2.0,1.1764705882352942,1.7647058823529411,1.5294117647058822,1.5294117647058822,0.5217391304347826
std,0.7902568752334617,0.44897775854487953,1.1726039399558574,1.1311108542958477,1.0325582165612917,0.9432422182837985,1.1245914290767742,0.5107539184552492
min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
50%,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
75%,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0
max,4.0,1.0,4.0,4.0,3.0,3.0,4.0,1.0
