,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness
count,23.0,23.0,14.0,14.0,14.0,14.0,14.0,23.0
mean,1.7826086956521738,0.6086956521739131,2.0714285714285716,0.7857142857142857,1.6428571428571428,1.3571428571428572,0.7857142857142857,0.43478260869565216
std,0.902346523798844,0.4990108793478453,1.1411388181101378,0.892582375303981,1.2157392722216298,0.744946343668492,0.892582375303981,0.5068698018697019
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
50%,2.0,1.0,2.0,1.0,1.5,1.0,1.0,0.0
75%,2.5,1.0,3.0,1.0,3.0,2.0,1.0,1.0
max,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0
