,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness
count,23.0,23.0,20.0,20.0,20.0,20.0,20.0,23.0
mean,2.739130434782609,0.8695652173913043,1.85,1.05,1.55,1.35,0.9,0.5652173913043478
std,0.8643121965600912,0.34435022157509093,0.9880869341680844,0.9445132413883326,0.9986833437344549,0.8127277008872492,1.020835571068081,0.5068698018697018
min,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,1.0,1.0,0.75,1.0,1.0,0.0,0.0
50%,3.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
75%,3.0,1.0,3.0,1.0,2.25,1.25,1.0,1.0
max,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0
