,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness
count,23.0,23.0,14.0,14.0,14.0,14.0,14.0,23.0
mean,2.217391304347826,0.6086956521739131,1.9285714285714286,0.7142857142857143,2.0,1.0714285714285714,0.5,0.2608695652173913
std,0.9513875865917888,0.4990108793478453,1.071611705960535,0.46880723093849547,1.1766968108291043,0.9168747682531901,0.6504436355879909,0.4489777585448796
min,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.0
50%,2.0,1.0,1.5,1.0,2.0,1.0,0.0,0.0
75%,3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.5
max,4.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0
